Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
HBP,Huttig Building Products Inc. Common Stock,$9.50,0.45,4.972%,260258884.00,United States,,484685,Capital Goods,Wholesale Distributors
HIHO,Highway Holdings Limited Common Stock,$3.8739,0.0546,1.43%,15386453.00,Hong Kong,,1322,Capital Goods,Industrial Machinery/Components
HLMN,Hillman Solutions Corp. Common Stock,$10.30,-0.18,-1.718%,1931965963.00,United States,2020,472205,Capital Goods,Industrial Specialties
HLMNW,Hillman Solutions Corp. Warrant,$2.72,0.00,0.00%,0.00,United States,2020,5010,Capital Goods,Industrial Specialties
HOVNP,Hovnanian Enterprises Inc Dep Shr Srs A Pfd,$23.26,5.97,34.529%,0.00,United States,,108021,Capital Goods,Homebuilding
HTGM,HTG Molecular Diagnostics Inc. Common Stock,$4.10,0.71,20.944%,31027812.00,United States,2015,307845,Capital Goods,Biotechnology: Laboratory Analytical Instruments
HYFM,Hydrofarm Holdings Group Inc. Common Stock,$28.90,-1.34,-4.431%,1286607828.00,United States,2020,319221,Capital Goods,Industrial Machinery/Components
HYZN,Hyzon Motors Inc. Class A Common Stock,$6.81,-0.22,-3.129%,1686460468.00,United States,2020,1232006,Capital Goods,Construction/Ag Equipment/Trucks
HYZNW,Hyzon Motors Inc. Warrants,$2.0212,-0.0288,-1.405%,0.00,United States,2020,5441,Capital Goods,Construction/Ag Equipment/Trucks
IESC,IES Holdings Inc. Common Stock,$50.29,-0.82,-1.604%,1041131994.00,United States,,13471,Capital Goods,Engineering & Construction
IIVI,II-VI Incorporated Common Stock,$66.82,-0.20,-0.298%,7092259632.00,United States,1987,1117728,Capital Goods,Industrial Machinery/Components
IIVIP,II-VI Incorporated 6.00% Series A Mandatory Convertible Preferred Stock,$279.22,-2.45,-0.87%,0.00,United States,,908,Capital Goods,Industrial Machinery/Components
INSG,Inseego Corp. Common Stock,$6.45,-0.16,-2.421%,678065183.00,United States,,904740,Capital Goods,Telecommunications Equipment
INVZ,Innoviz Technologies Ltd. Ordinary shares,$6.45,-0.01,-0.155%,862328874.00,Israel,,1056542,Capital Goods,Auto Parts:O.E.M.
